,card_materials,card_patterns,card_bitpoints,card_drift,card_mana,card_ingot,dragon_allhorns,dragon_wings,dragon_eye_colors,dragon_gatget,dragon_skin_texture
631,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
632,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
633,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
634,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
635,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
636,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
637,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
638,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
639,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
640,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
641,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
642,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
643,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
644,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
645,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
646,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
647,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
648,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
649,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
650,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
651,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
652,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
653,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
654,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
655,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
656,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
657,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
658,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
659,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
660,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
661,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
662,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
663,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
664,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
665,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
666,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
667,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
668,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
669,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
670,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
671,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
672,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
673,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
674,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
675,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
676,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
677,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
678,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
679,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
680,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
681,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
682,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
683,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
684,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
685,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
686,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
687,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
688,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
689,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
690,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
691,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
692,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
693,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
694,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
695,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
696,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
697,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
698,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
699,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
700,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
701,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
702,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
703,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
704,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
705,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
706,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
707,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
708,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
709,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
710,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
711,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
712,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
713,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
714,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
715,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
716,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
717,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
718,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
719,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
720,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
721,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
722,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
723,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
724,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
725,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
726,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
727,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
728,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
729,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
730,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
731,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
732,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
733,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
734,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
735,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
736,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
737,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
738,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
739,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
740,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
741,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
742,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
743,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
744,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
745,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
746,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
747,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
748,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
749,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
750,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
751,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
752,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
753,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
754,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
755,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
756,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
757,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
758,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
759,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
760,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
761,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
762,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
763,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
764,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
765,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
766,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
767,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
768,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
769,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
770,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
771,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
772,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
773,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
774,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
775,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
776,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
777,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
778,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
779,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
780,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
781,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
782,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
783,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
784,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
785,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
786,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
787,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
788,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
789,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
790,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
791,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
792,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
793,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
794,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
795,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
796,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
797,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
798,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
799,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
800,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
801,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
802,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
803,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
804,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
805,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
806,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
807,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
808,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
809,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
810,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
811,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
812,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
813,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
814,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
815,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
816,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
817,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
818,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
819,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
820,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
821,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
822,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
823,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
824,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
825,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
826,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
827,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
828,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
829,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
830,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
831,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
832,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
833,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
834,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
835,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
836,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
837,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
838,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
839,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
840,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
841,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
842,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
843,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
844,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
845,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
846,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
847,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
848,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
849,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
850,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
851,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
852,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
853,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
854,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
855,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
856,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
857,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
858,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
859,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
860,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
861,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
862,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
863,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
864,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
865,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
866,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
867,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
868,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
869,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
870,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
871,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
872,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
873,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
874,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
875,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
876,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
877,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
878,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
879,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
880,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
881,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
882,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
883,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
884,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
885,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
886,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
887,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
888,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
889,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
890,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
891,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
892,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
893,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
894,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
895,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
896,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
897,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
898,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
899,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
900,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
901,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
902,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
903,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
904,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
905,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
906,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
907,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
908,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
909,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
910,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
911,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
912,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
913,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
914,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
915,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
916,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
917,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
918,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
919,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
920,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
921,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
922,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
923,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
924,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
925,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
926,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
927,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
928,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
929,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
930,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
931,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
